35820,8bec,D,Forestry 1,Forestry 1 ,Public Works ,Denver City Services ,2
35821,8bed,D,Forestry 2,Forestry 2 ,Public Works ,Denver City Services ,2
35828,8bf4,D,Ranger,Ranger ,Public Works ,Denver City Services ,2
35860,8c14,D,RR FacRR Fac,Red Rocks Facility ,Business ,Denver City Services ,2
35862,8c16,D,RR OPS,Red Rocks Operations ,Business ,Denver City Services ,2
35863,8c17,D,RR BASE,Red Rocks Base ,Business ,Denver City Services ,2
35864,8c18,D,RR EMG,Red Rocks Emergency ,Emergency Ops ,Denver City Services ,2
35865,8c19,D,RR SEC,Red Rocks Security ,Security ,Denver City Services ,2
35866,8c1a,D,RR PARKING,Red Rocks Parking ,Business ,Denver City Services ,2
35867,8c1b,D,RR HSKEP,Red Rocks Housekeeing ,Business ,Denver City Services ,2
35868,8c1c,D,RR CUST SVC,Red Rocks Customer Service ,Business ,Denver City Services ,2
35893,8c35,D,DCC CMD,Denver Coliseum Command ,Business ,Denver City Services ,2
35894,8c36,D,DCC Hskping,Denver Coliseum Janitors ,Business ,Denver City Services ,2
35895,8c37,D,DCC Security,Denver Coliseum Security ,Security ,Denver City Services ,2
35896,8c38,D,DCC Parking,Denver Coliseum Parking ,Business ,Denver City Services ,2
35923,8c53,D,Library Ops,Denver Library ,Public Works ,Denver City Services ,2
37041,90b1,D,WhtRdg PD 1,Police 1 - Dispatch ,Law Dispatch ,Wheat Ridge ,2
37042,90b2,D,WhtRdg PD 2,Police 2 ,Law Tac ,Wheat Ridge ,2
37043,90b3,D,WhtRdg PD T1,Police Tactical 1 ,Law Tac ,Wheat Ridge ,2
37044,90b4,D,WhtRdg PD T2,Police Tactical 2 ,Law Tac ,Wheat Ridge ,2
37045,90b5,D,WhtRdg PD T3,Police Tactical 3 ,Law Tac ,Wheat Ridge ,2
37088,9.00E+01,D,WhtRdg DPW 1,Public Works All Call ,Public Works ,Wheat Ridge ,2
37089,9.00E+02,D,WhtRdg DPW 3,Operations ,Public Works ,Wheat Ridge ,2
37096,9.00E+09,D,WhtRdg Parks,Parks & Recreation ,Public Works ,Wheat Ridge ,2
37098,90ea,D,WhtRdg DPW 2,City Channel ,Public Works ,Wheat Ridge ,2
37107,90f3,D,WRFDAutoDisp,Wheat Ridge Fire Automated Dispatches ,Fire Dispatch ,West Metro Fire & Wheat Ridge Fire ,2
37272,9198,DE,LPD All Call,Announcement / All Call ,Law Dispatch ,Lakewood ,2
37273,9199,DE,LPD-1 North,Channel-1 - North Sector Dispatch ,Law Dispatch ,Lakewood ,2
37274,919a,DE,LPD-2 Centrl,Channel-2 - Central Sector Dispatch ,Law Dispatch ,Lakewood ,2
37275,919b,DE,LPD-3 South,Channel-3 - South Sector Dispatch ,Law Dispatch ,Lakewood ,2
37276,919c,DE,LPD-4 Wants,Channel-4 - NCIC/Warrant Checks ,Law Talk ,Lakewood ,2
37280,91a0,DE,LPDAnmlCntrl,Animal Control Car/Car ,Public Works ,Lakewood ,2
37281,91a1,DE,LPDAnmlCntrl,Animal Control Car/Car ,Public Works ,Lakewood ,2
37283,91a3,D,CoMillsMlSec,Colorado Mills Mall Security (Link to Colorado Mills Mall LTR System Security Talk Group) ,Security ,Lakewood ,2
37289,91a9,DE,LPD Tac-1,Tactical 1 - North Sector Car/Car (LTAC 1) ,Law Tac ,Lakewood ,2
37290,91aa,DE,LPD Tac-2,Tactical 2 - Central Sector Car/Car (LTAC 2) ,Law Tac ,Lakewood ,2
37291,91ab,DE,LPD Tac-3,Tactical 3 - South Sector Car/Car (LTAC 3) ,Law Tac ,Lakewood ,2
37292,91ac,DE,LPD SWAT 1,SWAT 1 ,Law Talk ,Lakewood ,2
37293,91ad,DE,LPD SWAT 2,SWAT 2 ,Law Talk ,Lakewood ,2
37294,91ae,DE,LPD Tac-4,Tactical Channel-4 ,Law Tac ,Lakewood ,2
37295,91af,DE,LPD Tac-5,Tactical Channel-5 ,Law Tac ,Lakewood ,2
37323,91cb,D,Radio Tech 8,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
37324,91cc,D,Radio Tech 9,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
37325,91cd,D,Radio Tech10,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
37337,91d9,DE,LPD Vice-1,Vice 1 ,Law Talk ,Lakewood ,2
37338,91da,DE,LPD Vice-2,Vice 2 ,Law Talk ,Lakewood ,2
37353,9.10E+10,DE,LPD CourtMsh,Lakewood Municipal Court Marshals ,Law Talk ,Lakewood ,2
37369,91f9,D,RedRocksCCPD,Police Dispatch ,Law Dispatch ,Red Rocks Community College ,2
37385,9209,D,CLEER-Lakewd,Colorado Law Enforcement Emergency Radio - Lakewood Link ,Interop ,Mutual Aid ,2
37386,920a,D,BelmarSec,Belmar Center Security (Link to Belmar Center LTR System Security Talk Group) ,Security ,Lakewood ,2
37521,9291,DE,NREL Ch-1,Channel 1 ,Federal ,National Renewable Energy Laboratory ,2
37522,9292,DE,NREL Ch-2,Channel 2 ,Federal ,National Renewable Energy Laboratory ,2
37523,9293,DE,NREL Ch-3,Channel 3 ,Federal ,National Renewable Energy Laboratory ,2
37552,92b0,D,Lkwd Rangers,Bear Creek Lake Park / Green Mountain Rangers (EDACS 552) ,Public Works ,Lakewood ,2
37768,9388,D,WMFRAllCall,All Call ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37777,9391,D,MetroAutoTF,Metro Auto Theft Task Force ,Law Talk ,Multi-Agency Law Enforcement ,2
37785,9399,D,WMFR/WRFDisp,West Metro Fire/Rescue & Wheat Ridge Fire Dispatch ,Fire Dispatch ,West Metro Fire & Wheat Ridge Fire ,2
37786,939a,D,WMFR Tac-2,Tactical 2 - Minor Incident Responses ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37787,939b,D,WMFR Tac-3,Tactical 3 - Structure Fire Responses ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37788,939c,D,WMFR Tac-4,Tactical 4 ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37789,939d,D,WMFR Tac-5,Tactical 5 - Mutual Aid w/Pleasant View Fire (DTRS 1483) ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37790,939e,D,WMFR Tac-6,Tactical 6 - West Metro Automated Dispatches ,Fire Dispatch ,West Metro Fire & Wheat Ridge Fire ,2
37791,939f,D,WMFR Tac-7,Tactical 7 ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37792,93a0,D,WMFR Tac-8,Tactical 8 - Red Rocks Concert Operations ,Fire-Tac ,West Metro Fire & Wheat Ridge Fire ,2
37797,93a5,D,WMFR Arson,Arson Investigations ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
